old_symbol	new_symbol
AMPK-alpha1	PRKAA1
AMPK-alpha2	PRKAA2
ARK5	NUAK1
BIKE	BMP2K
CDC2L1	CDK11B
CDC2L2	CDK11A
CDK11	CDK19
DCAMKL1	DCLK1
DCAMKL2	DCLK2
DCAMKL3	DCLK3
DLK	MAP3K12
DMPK2	CDC42BPG
DRAK1	STK17A
DRAK2	STK17B
ERK1	MAPK3
ERK2	MAPK1
ERK3	MAPK6
ERK4	MAPK4
ERK5	MAPK7
ERK8	MAPK15
GCN2	EIF2AK4
IKK-epsilon	IKBKE
JNK1	MAPK8
JNK2	MAPK9
JNK3	MAPK10
LKB1	STK11
LOK	STK10
MEK1	MAP2K1
MEK2	MAP2K2
MEK3	MAP2K3
MEK4	MAP2K4
MEK6	MAP2K6
MLCK	MYLK3
MLK1	MAP3K9
MLK2	MAP3K10
MLK3	MAP3K11
MRCKA	CDC42BPA
MRCKB	CDC42BPB
MST2	STK3
MST3	STK24
NDR2	STK38L
p38-alpha	MAPK14
p38-beta	MAPK11
p38-gamma	MAPK12
PAK7/PAK5	PAK7
PCTK1	CDK16
PCTK2	CDK17
PCTK3	CDK18
PFTK1	CDK14
PIP5K2B	PIP4K2B
PKAC-alpha	PRKACA
PKAC-beta	PRKACB
PRKR	EIF2AK2
SgK085	MYLK4
SNARK	NUAK2
SNF1LK	SIK1
SNF1LK2	SIK2
TIE2	TEK
TRKA	NTRK1
TRKB	NTRK2
TRKC	NTRK3
TSSK1	TSSK1B
VEGFR2	KDR
YANK2	STK32B
YANK3	STK32C
YES	YES1
YSK1	STK25
AMPK-ALPHA1	PRKAA1
AMPK-ALPHA2	PRKAA2
IKK-EPSILON	IKBKE
P38-ALPHA	MAPK14
P38-BETA	MAPK11
P38-GAMMA	MAPK12
PKAC-ALPHA	PRKACA
PKAC-BETA	PRKACB
SGK085	MYLK4
IKK	CHUK
C12orf63	C12orf55
C13orf18	KIAA0226L
C13orf3	SKA3
C15orf51	DNM1P46
C19orf46	SYNE4
C20orf132	MROH8
C3orf25	EFCAB12
C5orf25	SIMC1
C8orf84	SBSPON
CCT8L1	CCT8L1P
ELA2	ELANE
FAM123A	AMER2
FAM158A	EMC9
FAM22B	NUTM2B
FAM70B	TMEM255B
FAM75A3	SPATA31A3
FAM75A6	SPATA31A6
FAM86C	FAM86C1
GOLGA9P	GOLGA8I
GPR177	WLS
JMJD5	KDM8
KIAA0240	GLTSCR1L
KIAA0774	MTUS2
LARP5	LARP4B
METTL11A	NTMT1
MS4A8B	MS4A8
NFKBIL2	TONSL
ODZ2	TENM2
ODZ3	TENM3
PERLD1	PGAP3
PHC1B	PHC1P1
RLBP1L2	CLVS2
RNASEN	DROSHA
RUNDC2C	SNX29P2
SFRS6	SRSF6
TM7SF4	DCSTAMP
USP17	USP17L9P
ACCN1	ASIC2
ACCN2	ASIC1
ACCN4	ASIC4
ACCN5	ASIC5
AK3L1	AK4
ALS2CR4	TMEM237
AMAC1	SLC35G3
AMAC1L2	SLC35G5
AMAC1L3	SLC35G6
ANKRD19	ANKRD19P
ANKRD20B	ANKRD20A8P
ANKRD56	SOWAHB
ANKRD57	SOWAHC
ANKRD58	SOWAHD
ANUBL1	ZFAND4
BAT1	DDX39B
BAT2	PRRC2A
BAT2L1	PRRC2B
BAT2L2	PRRC2C
BAT3	BAG6
BAT4	GPANK1
BAT5	ABHD16A
BCL8	NBEAP1
BOD1L	BOD1L1
BPIL1	BPIFB2
BPIL2	BPIFC
BPIL3	BPIFB6
BRP44L	MPC1
BTBD12	SLX4
BTN2A3	BTN2A3P
C10orf125	FUOM
C10orf140	SKIDA1
C10orf18	FAM208B
C10orf27	TBATA
C10orf28	R3HCC1L
C10orf4	FRA10AC1
C10orf47	PROSER2
C10orf57	TMEM254
C10orf58	FAM213A
C10orf72	VSTM4
C10orf78	SFR1
C10orf79	WDR96
C10orf81	PLEKHS1
C10orf93	TTC40
C10orf96	CCDC172
C11orf10	TMEM258
C11orf41	KIAA1549L
C11orf46	ARL14EP
C11orf59	LAMTOR1
C11orf9	MYRF
C12orf12	CCER1
C12orf26	METTL25
C12orf34	FAM222A
C12orf35	KIAA1551
C12orf41	KANSL2
C12orf48	PARPBP
C12orf51	HECTD4
C12orf69	SMCO3
C12orf72	METTL20
C13orf1	SPRYD7
C13orf23	PROSER1
C13orf28	SPACA7
C13orf31	LACC1
C13orf33	MEDAG
C13orf34	BORA
C13orf36	SERTM1
C13orf39	METTL21C
C14orf101	TMEM260
C14orf102	NRDE2
C14orf104	DNAAF2
C14orf106	MIS18BP1
C14orf115	VRTN
C14orf118	GPATCH2L
C14orf135	PCNXL4
C14orf145	CEP128
C14orf148	NOXRED1
C14orf149	L3HYPDH
C14orf174	SAMD15
C14orf179	IFT43
C14orf21	NOP9
C14orf4	IRF2BPL
C14orf43	ELMSAN1
C14orf49	SYNE3
C14orf50	PPP1R36
C14orf68	SLC25A47
C14orf73	EXOC3L4
C15orf17	FAM219B
C15orf2	NPAP1
C15orf23	KNSTRN
C15orf24	EMC7
C15orf33	FAM227B
C15orf42	TICRR
C15orf44	VWA9
C15orf55	NUTM1
C15orf58	GDPGP1
C15orf63	HYPK
C16orf42	TSR3
C16orf53	PAGR1
C16orf68	METTL22
C16orf73	MEIOB
C17orf101	OGFOD3
C17orf28	HID1
C17orf42	TEFM
C17orf46	SPATA32
C17orf48	ADPRM
C17orf56	ENTHD2
C17orf57	EFCAB13
C17orf63	FAM222B
C17orf68	CTC1
C17orf71	SMG8
C17orf76	FAM211A
C17orf79	COPRS
C17orf81	ELP5
C17orf90	OXLD1
C17orf95	METTL23
C18orf1	LDLRAD4
C18orf10	TPGS2
C18orf22	RBFA
C18orf34	CCDC178
C18orf45	TMEM241
C18orf55	TIMM21
C18orf62	SMIM21
C19orf2	URI1
C19orf28	MFSD12
C19orf29	CACTIN
C19orf36	IZUMO4
C19orf39	SWSAP1
C19orf41	IZUMO2
C19orf50	KXD1
C19orf51	DNAAF3
C19orf56	WDR83OS
C19orf61	SMG9
C19orf75	SIGLECL1
C1orf103	LRIF1
C1orf104	RUSC1-AS1
C1orf107	DIEXF
C1orf114	CCDC181
C1orf124	SPRTN
C1orf125	AXDND1
C1orf129	MROH9
C1orf135	AUNIP
C1orf14	SHCBP1L
C1orf151	MINOS1
C1orf161	MAB21L3
C1orf163	SELRC1
C1orf175	MROH7
C1orf182	TSACC
C1orf187	DRAXIN
C1orf201	STPG1
C1orf212	SMIM12
C1orf25	TRMT1L
C1orf38	THEMIS2
C1orf49	TEX35
C1orf55	SDE2
C1orf57	NTPCR
C1orf59	HENMT1
C1orf69	IBA57
C1orf83	TCEANC2
C1orf88	PIFO
C1orf89	RSG1
C1orf9	SUCO
C1orf91	TMEM234
C1orf96	CCSAP
C20orf103	LAMP5
C20orf11	GID8
C20orf114	BPIFB1
C20orf117	SOGA1
C20orf118	TLDC2
C20orf12	DZANK1
C20orf135	ABHD16B
C20orf151	RBBP8NL
C20orf152	CNBD2
C20orf160	CCM2L
C20orf165	SPATA25
C20orf177	FAM217B
C20orf185	BPIFB3
C20orf186	BPIFB4
C20orf191	NCOR1P1
C20orf200	C20orf166-AS1
C20orf3	APMAP
C20orf30	TMEM230
C20orf4	AAR2
C20orf46	TMEM74B
C20orf54	SLC52A3
C20orf7	NDUFAF5
C20orf71	BPIFA3
C20orf72	MGME1
C20orf79	SCP2D1
C20orf94	SLX4IP
C21orf29	TSPEAR
C21orf45	MIS18A
C21orf63	EVA1C
C21orf7	MAP3K7CL
C21orf70	FAM207A
C22orf13	GUCD1
C22orf30	PRR14L
C22orf9	KIAA0930
C2orf24	CNPPD1
C2orf28	ATRAID
C2orf29	CNOT11
C2orf3	GCFC2
C2orf34	CAMKMT
C2orf39	DRC1
C2orf52	LINC00471
C2orf55	KIAA1211L
C2orf56	NDUFAF7
C2orf60	TYW5
C2orf63	CLHC1
C2orf65	M1AP
C2orf67	KANSL1L
C2orf77	CCDC173
C2orf86	WDPCP
C2orf89	TRABD2A
C3orf1	TIMMDC1
C3orf10	BRK1
C3orf15	MAATS1
C3orf19	CCDC174
C3orf21	XXYLT1
C3orf23	TCAIM
C3orf34	CEP19
C3orf39	GTDC2
C3orf43	SMCO1
C3orf59	MB21D2
C3orf63	FAM208A
C3orf75	ELP6
C4orf14	NOA1
C4orf23	TRMT44
C4orf31	NDNF
C4orf35	CABS1
C4orf37	STPG2
C4orf41	TRAPPC11
C4orf42	CTBP1-AS1
C4orf49	MGARP
C4orf7	FDCSP
C5orf13	NREP
C5orf23	NPR3
C5orf35	SETD9
C5orf36	KIAA0825
C5orf39	ANXA2R
C5orf4	FAXDC2
C5orf40	FNDC9
C5orf41	CREBRF
C6orf138	PTCHD4
C6orf146	FAM217A
C6orf153	RRP36
C6orf154	LRRC73
C6orf167	MMS22L
C6orf168	FAXC
C6orf174	SOGA3
C6orf182	CEP57L1
C6orf192	SLC18B1
C6orf204	CEP85L
C6orf221	KHDC3L
C6orf225	FAM229B
C6orf26	SAPCD1
C6orf27	VWA7
C6orf35	TMEM242
C6orf72	GINM1
C6orf97	CCDC170
C7orf16	PPP1R17
C7orf23	TMEM243
C7orf27	BRAT1
C7orf30	MALSU1
C7orf36	YAE1D1
C7orf46	FAM221A
C7orf51	NYAP1
